CHSI_County_Name,CHSI_State_Abbr,Health_Status,Min_Health_Status,Code,HealthStatusModified
Aleutians East,AK,-1111.1,6.4,2013,6.4
Aleutians West,AK,-1111.1,4,2016,4
Anchorage,AK,-1111.1,8.2,2020,8.2
Bethel,AK,-1111.1,11.1,2050,11.1
Bristol Bay,AK,-1111.1,4,2060,4
Denali,AK,-1111.1,4,2068,4
Dillingham,AK,-1111.1,6,2070,6
Fairbanks North Star,AK,-1111.1,6.9,2090,6.9
Haines,AK,-1111.1,6.4,2100,6.4
Juneau,AK,-1111.1,8.4,2110,8.4
Kenai Peninsula,AK,-1111.1,11.7,2122,11.7
Ketchikan Gateway,AK,-1111.1,2.2,2130,2.2
Kodiak Island,AK,-1111.1,4,2150,4
Lake and Peninsula,AK,-1111.1,6,2164,6
Matanuska-Susitna,AK,-1111.1,11.7,2170,11.7
Nome,AK,-1111.1,6,2180,6
North Slope,AK,-1111.1,6.4,2185,6.4
Northwest Arctic,AK,-1111.1,6,2188,6
Sitka,AK,-1111.1,4,2220,4
Southeast Fairbanks,AK,-1111.1,6.4,2240,6.4
Valdez-Cordova,AK,-1111.1,4,2261,4
Wade Hampton,AK,-1111.1,11.5,2270,11.5
Yakutat,AK,-1111.1,4,2282,4
Yukon-Koyukuk,AK,-1111.1,6,2290,6
Autauga,AL,21.8,11.7,1001,21.8
Baldwin,AL,15.4,11.9,1003,15.4
Barbour,AL,21.4,18.3,1005,21.4
Bibb,AL,19.4,13,1007,19.4
Blount,AL,25.8,10.1,1009,25.8
Bullock,AL,-1111.1,18.5,1011,18.5
Butler,AL,21.6,17.4,1013,21.6
Calhoun,AL,26.7,12.7,1015,26.7
Chambers,AL,32.3,17.5,1017,32.3
Cherokee,AL,-1111.1,12.2,1019,12.2
Chilton,AL,26,9.1,1021,26
Choctaw,AL,29.8,14,1023,29.8
Clarke,AL,-1111.1,18.3,1025,18.3
Clay,AL,-1111.1,13,1027,13
Cleburne,AL,-1111.1,12.9,1029,12.9
Coffee,AL,19.1,9.1,1031,19.1
Colbert,AL,20.3,13,1033,20.3
Conecuh,AL,19.1,18.5,1035,19.1
Coosa,AL,18.3,12.9,1037,18.3
Covington,AL,22,20.5,1039,22
Crenshaw,AL,-1111.1,18.4,1041,18.4
Cullman,AL,23.8,13,1043,23.8
Dale,AL,23.9,13.4,1045,23.9
Dallas,AL,25.1,19.7,1047,25.1
DeKalb,AL,22,14.7,1049,22
Elmore,AL,15.1,9.6,1051,15.1
Escambia,AL,31.2,18.3,1053,31.2
Etowah,AL,24.1,12.7,1055,24.1
Fayette,AL,32.7,13,1057,32.7
Franklin,AL,25,14.1,1059,25
Geneva,AL,25.6,12.2,1061,25.6
Greene,AL,-1111.1,18.5,1063,18.5
Hale,AL,-1111.1,17.4,1065,17.4
Henry,AL,-1111.1,13,1067,13
Houston,AL,21.9,13.7,1069,21.9
Jackson,AL,22.6,9,1071,22.6
Jefferson,AL,17.7,11.7,1073,17.7
Lamar,AL,-1111.1,13,1075,13
Lauderdale,AL,23.4,13,1077,23.4
Lawrence,AL,28.8,9.1,1079,28.8
Lee,AL,16.6,9,1081,16.6
Limestone,AL,18,9.6,1083,18
Lowndes,AL,-1111.1,14,1085,14
Macon,AL,22.8,14.9,1087,22.8
Madison,AL,13.7,12.3,1089,13.7
Marengo,AL,-1111.1,15.5,1091,15.5
Marion,AL,27.7,14.1,1093,27.7
Marshall,AL,22.5,9,1095,22.5
Mobile,AL,19.2,13.2,1097,19.2
Monroe,AL,11.7,15.5,1099,11.7
Montgomery,AL,16.3,15.5,1101,16.3
Morgan,AL,18.3,11.6,1103,18.3
Perry,AL,-1111.1,18.5,1105,18.5
Pickens,AL,20.7,17.4,1107,20.7
Pike,AL,22,20.5,1109,22
Randolph,AL,17.3,18.2,1111,17.3
Russell,AL,25.4,16.5,1113,25.4
Shelby,AL,9.9,8.2,1117,9.9
St. Clair,AL,25.2,9,1115,25.2
Sumter,AL,19.8,14,1119,19.8
Talladega,AL,24.6,16.5,1121,24.6
Tallapoosa,AL,21.5,14.1,1123,21.5
Tuscaloosa,AL,17.9,12.7,1125,17.9
Walker,AL,27.3,14.7,1127,27.3
Washington,AL,-1111.1,14,1129,14
Wilcox,AL,-1111.1,18.5,1131,18.5
Winston,AL,25.5,12.9,1133,25.5
Arkansas,AR,24.9,18.5,5001,24.9
Ashley,AR,18.5,18.5,5003,18.5
Baxter,AR,17.8,17.5,5005,17.8
Benton,AR,14.5,11.3,5007,14.5
Boone,AR,17.6,14.1,5009,17.6
Bradley,AR,18.9,17.6,5011,18.9
Calhoun,AR,17.9,14.8,5013,17.9
Carroll,AR,19.8,12.2,5015,19.8
Chicot,AR,30.9,15.5,5017,30.9
Clark,AR,18.4,18.4,5019,18.4
Clay,AR,31.9,13,5021,31.9
Cleburne,AR,21.2,12.2,5023,21.2
Cleveland,AR,26.2,12.9,5025,26.2
Columbia,AR,21.9,20.5,5027,21.9
Conway,AR,23.3,14.8,5029,23.3
Craighead,AR,20.6,9,5031,20.6
Crawford,AR,19.4,13.4,5033,19.4
Crittenden,AR,22.4,14.9,5035,22.4
Cross,AR,22.3,18.5,5037,22.3
Dallas,AR,18.4,10.8,5039,18.4
Desha,AR,20.6,15.5,5041,20.6
Drew,AR,16.6,15.5,5043,16.6
Faulkner,AR,16,9.6,5045,16
Franklin,AR,19.7,14.8,5047,19.7
Fulton,AR,18.6,17.6,5049,18.6
Garland,AR,21,14.7,5051,21
Grant,AR,20.4,10.9,5053,20.4
Greene,AR,26.2,17.5,5055,26.2
Hempstead,AR,26.9,17.4,5057,26.9
Hot Spring,AR,25.8,14.1,5059,25.8
Howard,AR,18.6,14.8,5061,18.6
Independence,AR,20.1,9.1,5063,20.1
Izard,AR,25,18.4,5065,25
Jackson,AR,34.9,18.2,5067,34.9
Jefferson,AR,19.6,16.5,5069,19.6
Johnson,AR,17.9,12.2,5071,17.9
Lafayette,AR,26.1,18.5,5073,26.1
Lawrence,AR,15.5,18.2,5075,15.5
Lee,AR,-1111.1,15.5,5077,15.5
