statename,NoHighSchoolDiploma,Unemployed,DisabledToWork,MajorDepression,RecentDrugUse
AK,46328,23016,59994,34317,50135
AL,741686,85724,173422,256315,223113
AR,446552,66504,84285,176497,157071
AZ,716562,133910,114238,322079,326332
CA,5326281,948711,1154589,1821657,2433763
CO,385783,128656,96433,328498,360001
CT,377330,89097,73480,245651,228856
DC,85615,19159,15471,39452,38591
DE,98898,18472,19976,48899,55197
FL,2434037,325012,2002673,958801,929872
GA,1228756,241742,235660,534528,464137
HI,130999,15522,21102,65657,81637
IA,274527,75746,50380,168542,112707
ID,136355,28184,39818,89298,62423
IL,1521043,368535,228378,679664,766076
IN,717771,173768,146081,416087,274849
KS,244406,74956,45496,170007,140350
KY,719902,121316,214281,272390,233705
LA,722736,32039,154702,237157,248769
MA,663002,161515,154725,383198,591331
MD,586600,121287,133930,293847,298934
ME,134196,34457,37912,93750,96864
MI,1089147,343636,265904,562926,638725
MN,403976,118654,63972,279389,283206
MO,713229,162328,139070,380200,278772
MS,499452,106017,96428,168587,137240
MT,79916,19773,19856,67704,49878
NC,1236800,226978,230859,500926,580323
ND,67448,12263,9112,36502,22233
NE,151011,37235,30869,104995,68043
NH,110901,26473,27010,72372,90984
NJ,1034719,194436,150806,447389,429902
NM,258209,49164,57358,120354,119302
NV,304999,49333,97596,176102,147102
NY,2700940,471952,589047,1080405,1119669
OH,1288233,349878,288847,783880,571892
OK,446731,76493,91250,214762,160829
OR,361166,114294,94964,265897,271687
PA,1521431,312389,293446,702195,640791
RI,159313,28743,32671,82139,77995
SC,657982,141778,132937,248767,207286
SD,76199,16688,13615,42890,28636
TN,960016,161946,189131,377249,311854
TX,3399538,596290,549127,1164485,985346
UT,171146,53927,49799,174835,94365
VA,910152,136222,139214,424358,360155
VT,58067,12375,12943,39226,57529
WA,537365,182275,163530,377442,415371
WI,543045,143993,136735,356467,296128
WV,313409,39745,108840,135954,77710
WY,40926,10177,12859,36650,24175
