statename,NoHighSchoolDiplomaOrig,UnemployedOrig,DisabledToWorkOrig,MajorDepressionOrig,RecentDrugUseOrig,NoHighSchool,Unemployed,DisabledToWork,MajorDepression,RecentDrugUse
AK,46328,23016,59994,34317,50135,0.12,0.31,0.64,0.2,0.3
AL,741686,85724,173422,256315,223113,1.96,1.15,1.86,1.5,1.33
AR,446552,66504,84285,176497,157071,1.18,0.89,0.9,1.03,0.94
AZ,716562,133910,114238,322079,326332,1.89,1.79,1.22,1.89,1.95
CA,5326281,948711,1154589,1821657,2433763,14.08,12.68,12.36,10.68,14.55
CO,385783,128656,96433,328498,360001,1.02,1.72,1.03,1.93,2.15
CT,377330,89097,73480,245651,228856,1,1.19,0.79,1.44,1.37
DC,85615,19159,15471,39452,38591,0.23,0.26,0.17,0.23,0.23
DE,98898,18472,19976,48899,55197,0.26,0.25,0.21,0.29,0.33
FL,2434037,325012,2002673,958801,929872,6.43,4.34,21.43,5.62,5.56
GA,1228756,241742,235660,534528,464137,3.25,3.23,2.52,3.13,2.78
HI,130999,15522,21102,65657,81637,0.35,0.21,0.23,0.38,0.49
IA,274527,75746,50380,168542,112707,0.73,1.01,0.54,0.99,0.67
ID,136355,28184,39818,89298,62423,0.36,0.38,0.43,0.52,0.37
IL,1521043,368535,228378,679664,766076,4.02,4.93,2.44,3.98,4.58
IN,717771,173768,146081,416087,274849,1.9,2.32,1.56,2.44,1.64
KS,244406,74956,45496,170007,140350,0.65,1,0.49,1,0.84
KY,719902,121316,214281,272390,233705,1.9,1.62,2.29,1.6,1.4
LA,722736,32039,154702,237157,248769,1.91,0.43,1.66,1.39,1.49
MA,663002,161515,154725,383198,591331,1.75,2.16,1.66,2.25,3.54
MD,586600,121287,133930,293847,298934,1.55,1.62,1.43,1.72,1.79
ME,134196,34457,37912,93750,96864,0.35,0.46,0.41,0.55,0.58
MI,1089147,343636,265904,562926,638725,2.88,4.59,2.85,3.3,3.82
MN,403976,118654,63972,279389,283206,1.07,1.59,0.68,1.64,1.69
MO,713229,162328,139070,380200,278772,1.89,2.17,1.49,2.23,1.67
MS,499452,106017,96428,168587,137240,1.32,1.42,1.03,0.99,0.82
MT,79916,19773,19856,67704,49878,0.21,0.26,0.21,0.4,0.3
NC,1236800,226978,230859,500926,580323,3.27,3.03,2.47,2.94,3.47
ND,67448,12263,9112,36502,22233,0.18,0.16,0.1,0.21,0.13
NE,151011,37235,30869,104995,68043,0.4,0.5,0.33,0.62,0.41
NH,110901,26473,27010,72372,90984,0.29,0.35,0.29,0.42,0.54
NJ,1034719,194436,150806,447389,429902,2.73,2.6,1.61,2.62,2.57
NM,258209,49164,57358,120354,119302,0.68,0.66,0.61,0.71,0.71
NV,304999,49333,97596,176102,147102,0.81,0.66,1.04,1.03,0.88
NY,2700940,471952,589047,1080405,1119669,7.14,6.31,6.3,6.33,6.7
OH,1288233,349878,288847,783880,571892,3.4,4.68,3.09,4.59,3.42
OK,446731,76493,91250,214762,160829,1.18,1.02,0.98,1.26,0.96
OR,361166,114294,94964,265897,271687,0.95,1.53,1.02,1.56,1.62
PA,1521431,312389,293446,702195,640791,4.02,4.17,3.14,4.12,3.83
RI,159313,28743,32671,82139,77995,0.42,0.38,0.35,0.48,0.47
SC,657982,141778,132937,248767,207286,1.74,1.89,1.42,1.46,1.24
SD,76199,16688,13615,42890,28636,0.2,0.22,0.15,0.25,0.17
TN,960016,161946,189131,377249,311854,2.54,2.16,2.02,2.21,1.86
TX,3399538,596290,549127,1164485,985346,8.99,7.97,5.88,6.83,5.89
UT,171146,53927,49799,174835,94365,0.45,0.72,0.53,1.02,0.56
VA,910152,136222,139214,424358,360155,2.41,1.82,1.49,2.49,2.15
VT,58067,12375,12943,39226,57529,0.15,0.17,0.14,0.23,0.34
WA,537365,182275,163530,377442,415371,1.42,2.44,1.75,2.21,2.48
WI,543045,143993,136735,356467,296128,1.44,1.92,1.46,2.09,1.77
WV,313409,39745,108840,135954,77710,0.83,0.53,1.16,0.8,0.46
WY,40926,10177,12859,36650,24175,0.11,0.14,0.14,0.21,0.14
