statename,statefullnames,nohighschooldipOld,unemployedOld,disabledtoworkOld,majordepressionOld,recentdruguseOld,toxicchem,popsize,popdensity,poverty,LungCancers,Strokes,NohighSchoolDip,Umemployed,DisabledToWork,MajorDepression,RecentDrugUse,Area,state.region,state.division,ToxicChemicals,Poverty/Population
AK,Alaska,46328,23016,5999,34317,50135,548665301,663661,213,327.9,1271.5,1171.4,6.98,3.47,0.9,5.17,7.55,50708,South,East South Central,10820.0935,0.494077549
AL,Alabama,741686,85724,173422,256315,223113,124572024,4557808,5736,1144.7,4173.5,4717.8,16.27,1.88,3.8,5.62,4.9,566432,West,Pacific,219.924058,0.251151431
AR,Arkansas,446552,66504,84285,176497,157071,51282840,2779154,3877,1334.5,5376.4,5810.7,16.07,2.39,3.03,6.35,5.65,113417,West,Mountain,452.1618452,0.480182099
AZ,Arizona,716562,133910,114238,322079,326332,65253908,5939292,714,252.6,638.7,725.2,12.06,2.25,1.92,5.42,5.49,51945,South,West South Central,1256.211531,0.042530322
CA,California,5326281,948711,1154589,1821657,2433763,46538892,36132147,36531,746.4,2994.2,3446.6,14.74,2.63,3.2,5.04,6.74,156361,West,Pacific,297.6374671,0.020657505
CO,Colorado,385783,128656,96433,328498,360001,26621257,4665177,4873,748.3,2181.6,2797.8,8.27,2.76,2.07,7.04,7.72,103766,West,Mountain,256.5508644,0.160401202
CT,Connecticut,377330,89097,73480,245651,228856,4837555,3510297,5669,56.5,417.9,382.8,10.75,2.54,2.09,7,6.52,4862,Northeast,New England,994.9722336,0.016095504
DC,District of Columbia,85615,19159,15471,39452,38591,39864,550521,8966,17.5,55.4,47.3,15.55,3.48,2.81,7.17,7.01,1982,South,South Atlantic,20.11301715,0.03178807
DE,Delaware,98898,18472,19976,48899,55197,12778816,843524,1659,28.8,192.6,147.6,11.72,2.19,2.37,5.8,6.54,54090,South,South Atlantic,236.2509891,0.034142478
FL,Florida,2434037,325012,2002673,958801,929872,129563147,17789864,21282,925.4,4469.2,3664.3,13.68,1.83,11.26,5.39,5.23,58073,South,South Atlantic,2231.03933,0.052018385
GA,Georgia,1228756,241742,235660,534528,464137,130485585,9072576,28683,2550.5,10235.9,12164.9,13.54,2.66,2.6,5.89,5.12,6425,West,Pacific,20309.04047,0.281121922
HI,Hawaii,130999,15522,21102,65657,81637,3103964,1275194,1781,1177.9,150.2,232.8,10.27,1.22,1.65,5.15,6.4,82677,West,Mountain,37.54325871,0.92370259
IA,Iowa,274527,75746,50380,168542,112707,45611787,2966334,5146,895.7,4784.1,5769.8,9.25,2.55,1.7,5.68,3.8,55748,North Central,East North Central,818.1779974,0.301955208
ID,Idaho,136355,28184,39818,89298,62423,66494962,1429096,1386,543.6,1746.3,2695.4,9.54,1.97,2.79,6.25,4.37,36097,North Central,East North Central,1842.118791,0.380380324
IL,Illinois,1521043,368535,228378,679664,766076,133969140,12763371,19739,1095.9,6100.4,6372,11.92,2.89,1.79,5.33,6,55941,North Central,West North Central,2394.829195,0.085862896
IN,Indiana,717771,173768,146081,416087,274849,268463714,6271973,15791,849.4,5914.2,6163.7,11.44,2.77,2.33,6.63,4.38,81787,North Central,West North Central,3282.474158,0.135427879
KS,Kansas,244406,74956,45496,170007,140350,29608387,2744687,4964,1149.3,5168.1,5907.9,8.9,2.73,1.66,6.19,5.11,39650,South,East South Central,746.7436822,0.418736271
KY,Kentucky,719902,121316,214281,272390,233705,103422014,4173405,13436,2021.9,9695.6,8203.6,17.25,2.91,5.13,6.53,5.6,44930,South,West South Central,2301.84763,0.484472511
LA,Louisiana,722736,32039,154702,237157,248769,127676476,4523628,10163,1224.3,4434.7,4313.6,15.98,0.71,3.42,5.24,5.5,30920,Northeast,New England,4129.252135,0.270645597
MA,Massachusetts,663002,161515,154725,383198,591331,7667144,6398743,20529,127.8,776.3,710.5,10.36,2.52,2.42,5.99,9.24,9891,South,South Atlantic,775.1636842,0.019972673
MD,Maryland,586600,121287,133930,293847,298934,42768234,5600388,19036,223.8,1463.1,1376.1,10.47,2.17,2.39,5.25,5.34,7826,Northeast,New England,5464.890621,0.039961517
